qid,common,const,typ,ra,dec,radm,decdm,maj,min,pa,rot,pal,maxalt,peak,fit,src,note,png
NGC 7822,Ced 214 / Sh2-171,Cep,HII,0.286,67.421,00h01m08s,+67°25',90,60,90,PA 090° (long axis),SHO,63,Sep,fits,SIMBAD,whole complex + Berkeley 59; circumpolar,NGC_7822.png
NGC 281,Pacman,Cas,HII,13.105,56.565,00h52m25s,+56°33',35,30,0,any (round),SHO,74,Oct,fits,SIMBAD,round; Bok globules,NGC_281.png
NGC 7635,Bubble (+M52),Cas,HII,350.201,61.202,23h20m48s,+61°12',22,15,0,PA 000° (long axis),SHO,70,Sep,small,SIMBAD,840mm feature; or shoot it inside the Sh2-157 combo below,NGC_7635.png
Sh2-157,Lobster Claw (+Bubble),Cas,HII,349.016,60.034,23h16m03s,+60°02',90,60,40,PA 040° (long axis),SHO,71,Sep,fits,SIMBAD,claw fits easily; claw+Bubble combo is razor-tight at PA~90 — test frame; M52 won't make it,Sh2-157.png
NGC 6820,Sh2-86,Vul,HII,295.616,23.087,19h42m27s,+23°05',40,30,0,PA 000° (long axis),SHO,72,Jul,fits,SIMBAD,pillar + NGC6823 cluster,NGC_6820.png
M27,Dumbbell,Vul,PN,299.902,22.721,19h59m36s,+22°43',8,6,30,PA 030° (long axis),HOO / SHO,72,Jul,small,SIMBAD,840mm/long-FL territory,M27.png
IC 1805,Heart,Cas,HII,38.21,61.471,02h32m50s,+61°28',100,90,0,any (round),SHO,69,Oct,fits,SIMBAD,Heart alone with room (overflows the 120); Heart+Soul pair ~5° = 2-panel,IC_1805.png
IC 1848,Soul,Cas,HII,42.855,60.419,02h51m25s,+60°25',60,40,90,PA 090° (long axis),SHO,70,Nov,fits,SIMBAD,fits; natural 2-panel partner with Heart,IC_1848.png
NGC 1499,California,Per,HII,60.825,36.422,04h03m17s,+36°25',145,40,100,PA 100° (long axis),Ha / SHO,86,Nov,fits,SIMBAD,"THE rotation win: PA~100 lays the 145' ribbon along the 3.37° axis — overflows the S30's fixed frame, mosaic on the 120",NGC_1499.png
IC 405,Flaming Star,Aur,HII+refl,79.35,34.383,05h17m24s,+34°22',37,19,30,PA 030° (long axis),Ha / HOO,84,Dec,fits,SIMBAD,or frame the IC405+IC410 pair: ~2.7° span at PA~115 fits this rig only,IC_405.png
IC 410,Tadpoles,Aur,HII,80.5,33.483,05h21m59s,+33°29',40,30,0,PA 000° (long axis),SHO,83,Dec,fits,SIMBAD,pairs with IC 405 in one frame at PA~115,IC_410.png
NGC 2237,Rosette,Mon,HII,97.65,4.981,06h30m36s,+04°58',80,70,0,any (round),SHO,54,Dec,fits,SIMBAD,fits with room (tight on the 120); low from JC,NGC_2237.png
NGC 2264,Christmas Tree / Cone,Mon,HII,100.217,9.877,06h40m52s,+09°52',40,20,0,PA 000° (long axis),SHO,59,Dec,fits,SIMBAD,Cone + Fox Fur + cluster,NGC_2264.png
IC 443,Jellyfish,Gem,SNR,94.25,22.57,06h16m59s,+22°34',50,40,140,any (round),HOO,72,Dec,fits,SIMBAD,+IC 444 context in frame,IC_443.png
NGC 2174,Monkey Head,Ori,HII,92.425,20.5,06h09m42s,+20°30',40,30,0,PA 000° (long axis),SHO,70,Dec,fits,SIMBAD,fall/winter,NGC_2174.png
M42,Orion Nebula (+Running Man),Ori,HII,83.82,-5.388,05h35m16s,-05°23',90,60,0,PA 000° (long axis),HOO / SHO,44,Dec,fits,SIMBAD,whole sword fits; HDR the core,M42.png
IC 434,Belt: Flame+Horsehead,Ori,HII,85.25,-2.5,05h41m00s,-02°30',90,60,0,PA 000° (long axis),Ha / SHO,47,Dec,fits,SIMBAD,Alnitak + Flame + Horsehead strip in one,IC_434.png
IC 2177,Seagull,CMa,HII,106.104,-10.455,07h04m24s,-10°27',150,50,0,PA 000° (long axis),Ha / HOO,39,Jan,fits,SIMBAD,150' wingspan along the long axis; low from JC (~39°),IC_2177.png
M1,Crab,Tau,SNR,83.632,22.017,05h34m31s,+22°01',6,4,0,PA 000° (long axis),HOO,71,Dec,small,SIMBAD,840mm/long-FL territory,M1.png
NGC 2359,Thor's Helmet,CMa,WR bubble,109.625,-13.227,07h18m30s,-13°13',10,8,0,any (round),HOO,36,Jan,small,SIMBAD,840mm territory + low from JC,NGC_2359.png
Abell 21,Medusa,Gem,PN,112.261,13.247,07h29m02s,+13°14',10,10,0,any (round),HOO,63,Jan,small,SIMBAD,840mm territory; large faint OIII PN,Abell_21.png
